Name,Dosage Form,Manufacturer,Expiry_Date,Sales_Count,Pharmacy_Name,day_of_sales
Metoprofen,Injection,GlaxoSmithKline plc,2024-06-04,233,Clicks Pharmacy,2023-10-20
Claricillin,Tablet,Novo Nordisk A/S,2024-11-10,132,Dis-Chem Pharmacy,2023-10-17
Clariprofen,Drops,Bayer AG,2023-10-08,333,Walgreens,2024-12-20
Cefphen,Cream,Bristol-Myers Squibb Company,2023-06-08,280,Costco Pharmacy,2022-09-23
Metophen,Tablet,"Merck & Co., Inc.",2024-08-25,230,Rexall Pharmacy,2023-06-02
Ibuprocillin,Inhaler,Bristol-Myers Squibb Company,2026-03-21,440,H-E-B Pharmacy,2025-01-03
Metoprofen,Drops,Eli Lilly and Company,2025-08-16,195,WellnessPharm,2024-04-18
Metostatin,Ointment,CSL Limited,2025-09-23,316,PharmaChoice,2023-11-26
Cefstatin,Cream,Biogen Inc.,2025-06-28,75, Superdrug,2022-08-31
Clarimet,Inhaler,Sanofi S.A.,2026-03-06,380,Pharmasave,2024-08-19
Amoxistatin,Capsule,Novo Nordisk A/S,2026-10-28,284,Dis-Chem Pharmacy,2023-12-03
Metovir,Drops,GlaxoSmithKline plc,2024-10-02,209,Target Pharmacy,2024-06-26
Ibupromycin,Ointment,"Gilead Sciences, Inc.",2023-10-06,380,CVS Pharmacy,2022-07-20
Dextronazole,Tablet,Boehringer Ingelheim GmbH,2023-02-19,315,Duane Reade,2023-03-16
Dolonazole,Ointment,GlaxoSmithKline plc,2023-10-09,193,PharmaSave,2023-08-28
Acetostatin,Drops,CSL Limited,2025-06-10,349,Meijer Pharmacy,2024-09-30
Cefmet,Inhaler,"Merck & Co., Inc.",2022-12-08,209,MedPlus,2023-05-10
Doloprofen,Inhaler,"Gilead Sciences, Inc.",2024-03-31,199,Boots,2024-05-05
Claristatin,Capsule,Pfizer Inc.,2023-11-21,119,CVS Pharmacy,2024-11-02
Acetovir,Capsule,Takeda Pharmaceutical Company Limited,2024-08-27,180,PharmaSave,2023-12-17
Amoxivir,Tablet,AbbVie Inc.,2024-02-05,288,Watsons,2023-04-03
Dolonazole,Injection,"Gilead Sciences, Inc.",2024-12-28,398,Walmart Pharmacy,2024-10-28
Ibuprophen,Drops,"Gilead Sciences, Inc.",2023-06-01,262,Walgreens,2023-05-26
Acetostatin,Cream,Teva Pharmaceutical Industries Ltd.,2025-08-14,111,Lloyds Pharmacy,2024-11-18
Metomycin,Inhaler,Roche Holding AG,2023-06-15,73,Shoppers Drug Mart,2022-08-23
Dextromet,Syrup,"Merck & Co., Inc.",2025-09-13,309,HealthPlus,2025-06-27
Metovir,Ointment,Pfizer Inc.,2025-03-06,338,Albertsons Pharmacy,2024-02-23
Clarinazole,Injection,Roche Holding AG,2026-04-08,75,Dis-Chem Pharmacy,2024-08-07
Amoximycin,Syrup,Roche Holding AG,2023-02-24,307,Netmeds,2023-02-22
Dolomet,Drops,Eli Lilly and Company,2024-07-02,174,Duane Reade,2022-12-28
Amoximycin,Capsule,GlaxoSmithKline plc,2024-12-31,95,Boots,2024-11-30
Claristatin,Injection,Novo Nordisk A/S,2025-08-27,165,Shoppers Drug Mart,2024-11-27
Ibuprocillin,Ointment,Novartis AG,2024-11-17,188,Uniprix,2023-12-27
Metophen,Injection,Boehringer Ingelheim GmbH,2023-02-20,487,HealthPlus,2024-02-08
Acetoprofen,Injection,Teva Pharmaceutical Industries Ltd.,2024-05-03,58,HealthPlus,2023-11-19
Cefnazole,Capsule,GlaxoSmithKline plc,2026-03-01,330,Boots,2023-10-17
Amoxicillin,Tablet,Sanofi S.A.,2023-08-22,492,Rite Aid,2024-10-02
Claristatin,Injection,Novo Nordisk A/S,2024-03-23,185,Apollo Pharmacy,2024-03-14
Dextrocillin,Inhaler,AbbVie Inc.,2023-08-08,291,Meijer Pharmacy,2024-09-29
Dextromycin,Ointment,Johnson & Johnson,2024-11-20,438,PharmaSave,2023-01-24
Dolophen,Tablet,Boehringer Ingelheim GmbH,2026-06-27,267,Pharmasave,2023-09-24
Metoprofen,Inhaler,Johnson & Johnson,2025-02-23,58,Safeway Pharmacy,2024-02-16
Dolomet,Tablet,Takeda Pharmaceutical Company Limited,2024-01-07,149,Walmart Pharmacy,2023-03-28
Amoximycin,Cream,Bayer AG,2023-08-20,134,Duane Reade,2024-03-08
Dolomycin,Capsule,Bayer AG,2025-09-28,446,Uniprix,2025-06-14
Metophen,Capsule,GlaxoSmithKline plc,2025-09-16,208,CVS Pharmacy,2024-10-27
Dolomycin,Inhaler,"Merck & Co., Inc.",2024-08-06,362,Target Pharmacy,2024-07-08
Dolophen,Ointment,CSL Limited,2024-09-27,336,MedPlus,2023-09-18
Metonazole,Cream,Pfizer Inc.,2025-06-16,387,Rite Aid,2025-03-29
Metomet,Syrup,Bayer AG,2024-09-03,311,Target Pharmacy,2024-08-03
Acetomet,Capsule,Boehringer Ingelheim GmbH,2024-04-23,190,Netmeds,2022-08-26
Doloprofen,Syrup,Takeda Pharmaceutical Company Limited,2024-08-31,437, Superdrug,2023-08-16
Dextrostatin,Cream,Roche Holding AG,2025-10-02,346,Rite Aid,2024-10-14
Cefprofen,Ointment,Novo Nordisk A/S,2025-11-06,269,Shoppers Drug Mart,2025-10-19
Metomet,Injection,"Merck & Co., Inc.",2024-03-30,262,Pharmasave,2024-01-11
Acetovir,Tablet,CSL Limited,2026-02-18,315,Duane Reade,2025-09-22
Dextrovir,Inhaler,Biogen Inc.,2023-12-22,399,Pharmasave,2023-10-07
Clarivir,Drops,Boehringer Ingelheim GmbH,2025-02-07,144,Meijer Pharmacy,2024-08-28
Clarimycin,Cream,"Merck & Co., Inc.",2024-01-10,71,Dis-Chem Pharmacy,2024-03-02
Amoxicillin,Drops,CSL Limited,2025-06-26,54,Clicks Pharmacy,2025-05-21
Clarivir,Capsule,Roche Holding AG,2024-12-13,256,Safeway Pharmacy,2023-12-21
Metophen,Capsule,Roche Holding AG,2025-11-19,299,Meijer Pharmacy,2024-11-13
Metonazole,Drops,Eli Lilly and Company,2026-03-03,360,Dis-Chem Pharmacy,2024-07-24
Dextronazole,Ointment,"Merck & Co., Inc.",2023-12-28,239,Pharmasave,2023-11-24
Amoximycin,Drops,Roche Holding AG,2026-08-07,308,Guardian Pharmacy,2025-08-30
Ibupromycin,Drops,Roche Holding AG,2025-07-25,124,Health Mart Pharmacy,2022-09-22
Metovir,Ointment,"Merck & Co., Inc.",2024-07-22,406,HealthPlus,2024-02-19
Metoprofen,Ointment,Johnson & Johnson,2025-01-20,237,Apollo Pharmacy,2023-12-23
Dextrophen,Inhaler,Roche Holding AG,2023-06-07,154,Walmart Pharmacy,2024-11-22
Cefstatin,Tablet,CSL Limited,2022-11-09,111,Rexall Pharmacy,2024-06-13
Acetocillin,Capsule,GlaxoSmithKline plc,2025-08-23,471,Clicks Pharmacy,2024-04-01
Metonazole,Cream,Eli Lilly and Company,2024-05-03,61,Boots,2024-09-07
Ibupronazole,Injection,Roche Holding AG,2024-02-05,239,Safeway Pharmacy,2023-07-18
Cefprofen,Tablet,Johnson & Johnson,2025-11-14,123, Superdrug,2023-08-12
Ibuprostatin,Drops,Amgen Inc.,2025-07-20,490,Apollo Pharmacy,2024-02-25
Ibupronazole,Ointment,Takeda Pharmaceutical Company Limited,2025-07-10,312,Shoppers Drug Mart,2024-11-08
Dolomycin,Ointment,Johnson & Johnson,2024-04-04,205,Rexall Pharmacy,2022-10-24
Dolonazole,Capsule,AbbVie Inc.,2025-02-04,200,MediCare,2024-03-19
Dolovir,Ointment,Sanofi S.A.,2025-01-01,406,Clicks Pharmacy,2024-09-04
Ibupromycin,Injection,Takeda Pharmaceutical Company Limited,2024-02-19,349,CarePlus Pharmacy,2024-10-01
Cefmet,Syrup,"Gilead Sciences, Inc.",2025-01-04,120,Kroger Pharmacy,2024-06-11
Cefstatin,Cream,Roche Holding AG,2026-03-09,416,Kroger Pharmacy,2025-09-02
Cefphen,Syrup,"Merck & Co., Inc.",2025-09-16,364,MediCare,2025-03-19
Clarimet,Capsule,Novartis AG,2025-04-12,480,WellnessPharm,2025-02-10
Acetostatin,Inhaler,"Gilead Sciences, Inc.",2023-02-05,132,Pharmasave,2024-10-27
Clariprofen,Drops,"Merck & Co., Inc.",2024-06-27,499, Superdrug,2024-03-20
Cefmycin,Ointment,Sanofi S.A.,2024-03-01,288,Rexall Pharmacy,2024-10-08
Clarinazole,Ointment,Novartis AG,2025-12-19,165,PharmaChoice,2024-06-10
Clarimet,Tablet,Novo Nordisk A/S,2025-04-19,233,CVS Pharmacy,2025-03-04
Acetomet,Cream,GlaxoSmithKline plc,2024-04-30,112,Lloyds Pharmacy,2023-01-17
Ibupromycin,Ointment,Johnson & Johnson,2026-02-25,481,Safeway Pharmacy,2026-01-25
Cefphen,Syrup,Pfizer Inc.,2025-10-05,250,H-E-B Pharmacy,2025-02-16
Clariprofen,Cream,"Gilead Sciences, Inc.",2025-05-23,448,Health Mart Pharmacy,2024-05-14
Amoxiphen,Injection,"Merck & Co., Inc.",2025-01-20,120,Shoppers Drug Mart,2024-11-15
Dextronazole,Drops,Pfizer Inc.,2025-11-06,57,WellnessPharm,2023-05-05
Acetomycin,Cream,Amgen Inc.,2025-05-16,183,Rexall Pharmacy,2023-11-23
Ibuprocillin,Inhaler,Sanofi S.A.,2024-06-10,494,Safeway Pharmacy,2024-05-11
Dextrocillin,Capsule,Johnson & Johnson,2025-03-11,51,Rite Aid,2024-12-24
Dolovir,Inhaler,Bayer AG,2024-07-16,483,Target Pharmacy,2024-03-12
Cefstatin,Capsule,Takeda Pharmaceutical Company Limited,2025-11-02,413,MedPlus,2024-12-24
Ibupronazole,Ointment,"Merck & Co., Inc.",2023-10-01,90,Watsons,2024-04-28
Acetoprofen,Injection,AbbVie Inc.,2023-11-08,252,Uniprix,2023-12-19
Cefstatin,Injection,Roche Holding AG,2025-01-05,273,Rexall Pharmacy,2022-04-15
Dextronazole,Tablet,Bristol-Myers Squibb Company,2026-05-05,464,Walmart Pharmacy,2025-08-14
Dextrocillin,Injection,Roche Holding AG,2023-11-14,215,Shoppers Drug Mart,2023-11-01
Ibupromycin,Tablet,Teva Pharmaceutical Industries Ltd.,2025-01-14,189,MedPlus,2024-02-09
Acetomycin,Syrup,AbbVie Inc.,2026-06-09,493,Clicks Pharmacy,2024-04-12
Ibuprocillin,Capsule,Eli Lilly and Company,2023-01-29,443, Superdrug,2023-05-04
Clarimycin,Ointment,Novo Nordisk A/S,2024-07-27,286,Albertsons Pharmacy,2024-05-17
Dolocillin,Tablet,AbbVie Inc.,2024-07-05,362,CVS Pharmacy,2024-12-19
Clarivir,Injection,Roche Holding AG,2025-01-25,80,Duane Reade,2024-10-03
Dolonazole,Syrup,Novo Nordisk A/S,2024-05-30,236,Health Mart Pharmacy,2023-09-08
Acetophen,Drops,"Gilead Sciences, Inc.",2024-02-17,312,CVS Pharmacy,2024-01-30
Acetoprofen,Ointment,Amgen Inc.,2026-06-12,372,Uniprix,2022-12-14
Claristatin,Capsule,Boehringer Ingelheim GmbH,2025-08-17,86,Shoppers Drug Mart,2023-12-25
Ibupronazole,Ointment,Novartis AG,2022-09-22,470,Safeway Pharmacy,2022-07-29
Cefvir,Capsule,Bristol-Myers Squibb Company,2023-05-11,233,Walgreens,2023-10-19
Cefnazole,Injection,Bristol-Myers Squibb Company,2024-08-26,326,CarePlus Pharmacy,2024-08-07
Clarivir,Inhaler,Bristol-Myers Squibb Company,2024-06-12,265,Rite Aid,2023-08-09
Dextrovir,Inhaler,Teva Pharmaceutical Industries Ltd.,2024-01-07,413,H-E-B Pharmacy,2024-02-11
Acetomycin,Tablet,Biogen Inc.,2023-06-01,186,Albertsons Pharmacy,2023-06-10
Amoxivir,Ointment,"Gilead Sciences, Inc.",2023-12-01,147,Target Pharmacy,2023-11-28
Dolomet,Capsule,Johnson & Johnson,2024-03-28,156,Meijer Pharmacy,2024-03-03
Ibuprostatin,Cream,AstraZeneca plc,2024-01-12,209,Guardian Pharmacy,2024-08-28
Doloprofen,Syrup,"Merck & Co., Inc.",2023-12-11,414,Publix Pharmacy,2024-08-02
Metophen,Tablet,Sanofi S.A.,2023-08-29,111,MedPlus,2023-05-06
Metovir,Drops,Sanofi S.A.,2024-02-20,475,Rite Aid,2023-05-27
Acetocillin,Ointment,Bristol-Myers Squibb Company,2025-12-21,427,Health Mart Pharmacy,2022-09-27
Ibupromycin,Syrup,Pfizer Inc.,2025-12-11,297,Rexall Pharmacy,2023-09-14
Dextromet,Syrup,Boehringer Ingelheim GmbH,2025-01-12,222,Meijer Pharmacy,2024-01-26
Ibuprostatin,Ointment,Johnson & Johnson,2023-11-14,224,H-E-B Pharmacy,2023-08-02
Cefprofen,Tablet,"Gilead Sciences, Inc.",2025-11-15,497,Netmeds,2025-08-26
Dextronazole,Tablet,Boehringer Ingelheim GmbH,2026-06-01,447,H-E-B Pharmacy,2025-12-22
Doloprofen,Inhaler,"Merck & Co., Inc.",2024-09-21,481,MedPlus,2024-11-22
Dextromet,Syrup,GlaxoSmithKline plc,2025-10-19,76,Lloyds Pharmacy,2022-11-11
Acetovir,Drops,Novo Nordisk A/S,2025-05-09,50,Health Mart Pharmacy,2024-03-08
Doloprofen,Syrup,Amgen Inc.,2023-04-15,72,Walmart Pharmacy,2022-09-27
Cefphen,Cream,Roche Holding AG,2024-05-15,417,HealthPlus,2024-10-28
Dolophen,Syrup,Bristol-Myers Squibb Company,2025-09-01,77,HealthPlus,2025-07-20
Dextromet,Drops,AstraZeneca plc,2026-03-20,404,Rite Aid,2023-12-02
Dextroprofen,Drops,"Merck & Co., Inc.",2025-01-12,352,Guardian Pharmacy,2024-12-22
Clarivir,Drops,Pfizer Inc.,2026-06-16,131,Target Pharmacy,2025-06-09
Amoxivir,Syrup,Sanofi S.A.,2025-07-17,244,Albertsons Pharmacy,2024-04-08
Cefprofen,Inhaler,Eli Lilly and Company,2026-02-16,173,Health Mart Pharmacy,2024-02-07
Ibuproprofen,Tablet,Novartis AG,2026-04-20,354,WellnessPharm,2024-02-08
Cefprofen,Ointment,Novo Nordisk A/S,2025-03-31,287,CarePlus Pharmacy,2024-04-15
Ibuproprofen,Tablet,"Gilead Sciences, Inc.",2024-10-05,216,PharmaSave,2024-09-30
Claricillin,Injection,Johnson & Johnson,2023-08-27,93,Clicks Pharmacy,2024-11-17
Dextromycin,Ointment,Teva Pharmaceutical Industries Ltd.,2023-09-16,288,Publix Pharmacy,2024-10-31
Dolocillin,Capsule,Sanofi S.A.,2023-08-05,372,Uniprix,2023-11-22
Ibuprophen,Tablet,Pfizer Inc.,2023-09-01,337,Dis-Chem Pharmacy,2024-01-20
Cefphen,Tablet,AstraZeneca plc,2023-09-29,253,Publix Pharmacy,2023-10-12
Dolophen,Tablet,Novo Nordisk A/S,2023-11-10,272,Pharmasave,2023-04-18
Ibupronazole,Inhaler,Boehringer Ingelheim GmbH,2024-04-14,419, Superdrug,2024-02-05
Cefmet,Inhaler,Johnson & Johnson,2024-02-03,56,Shoppers Drug Mart,2023-11-26
Clariphen,Cream,Novartis AG,2024-10-31,74,Walmart Pharmacy,2024-12-16
Metophen,Capsule,AbbVie Inc.,2024-07-18,370,WellnessPharm,2022-02-15
Dolophen,Ointment,CSL Limited,2023-03-09,235,Rite Aid,2024-09-18
Acetophen,Tablet,Novartis AG,2023-02-16,111,Publix Pharmacy,2023-02-09
Dolocillin,Capsule,"Merck & Co., Inc.",2024-04-08,260,Shoppers Drug Mart,2024-10-09
Dextrocillin,Ointment,Amgen Inc.,2025-03-01,290,Uniprix,2025-01-21
Metovir,Cream,Novartis AG,2023-05-28,449,H-E-B Pharmacy,2023-06-28
Dextromet,Injection,Bristol-Myers Squibb Company,2025-07-03,87,Meijer Pharmacy,2024-07-27
Dolostatin,Drops,Teva Pharmaceutical Industries Ltd.,2025-07-02,179,Netmeds,2023-08-30
Dolonazole,Capsule,Takeda Pharmaceutical Company Limited,2026-02-27,119,PharmaChoice,2025-01-14
Ibupronazole,Syrup,Pfizer Inc.,2026-05-23,331,Watsons,2024-07-13
Dextrocillin,Ointment,Bayer AG,2025-08-04,66,MediCare,2024-12-27
Acetomycin,Ointment,Bayer AG,2024-03-01,321,Kroger Pharmacy,2024-02-15
Claristatin,Drops,Takeda Pharmaceutical Company Limited,2026-03-07,94,Uniprix,2025-07-07
Metoprofen,Injection,"Merck & Co., Inc.",2023-09-16,313,Apollo Pharmacy,2023-09-23
Clariphen,Ointment,"Merck & Co., Inc.",2025-11-21,323,Costco Pharmacy,2024-06-23
Ibupronazole,Capsule,GlaxoSmithKline plc,2024-11-16,157,Walmart Pharmacy,2024-09-14
Cefmycin,Tablet,"Gilead Sciences, Inc.",2022-10-29,72,H-E-B Pharmacy,2023-12-06
Acetovir,Ointment,AbbVie Inc.,2024-04-30,376,MedPlus,2024-08-24
Acetomycin,Drops,Biogen Inc.,2024-09-05,379,Rexall Pharmacy,2023-08-18
Ibuprophen,Inhaler,Boehringer Ingelheim GmbH,2024-04-10,470,Walmart Pharmacy,2024-04-09
Metostatin,Injection,Biogen Inc.,2023-04-12,216,PharmaChoice,2024-06-02
Ibupromycin,Cream,"Gilead Sciences, Inc.",2024-07-20,59,MediCare,2022-04-23
Dextromycin,Capsule,"Gilead Sciences, Inc.",2026-01-26,277,Target Pharmacy,2025-07-27
Dolovir,Syrup,AstraZeneca plc,2025-12-29,436,Netmeds,2025-02-16
Acetomet,Cream,Roche Holding AG,2025-07-06,196,Guardian Pharmacy,2025-02-18
Acetonazole,Ointment,Novo Nordisk A/S,2024-04-27,455, Superdrug,2024-04-14
Dolomycin,Injection,Roche Holding AG,2025-02-13,363,Walgreens,2024-07-17
Dextronazole,Cream,Sanofi S.A.,2026-05-30,101,Netmeds,2022-08-22
Ibuprostatin,Drops,Takeda Pharmaceutical Company Limited,2023-10-27,215,PharmaChoice,2024-05-03
Dolomycin,Tablet,Novartis AG,2026-01-09,127,PharmaSave,2024-02-24
Amoxiprofen,Syrup,CSL Limited,2024-12-31,454,Walgreens,2024-11-01
Dolovir,Cream,Novo Nordisk A/S,2023-11-25,417,Rexall Pharmacy,2024-06-11
Dextrovir,Injection,Boehringer Ingelheim GmbH,2025-01-31,358,Pharmasave,2024-12-02
Ibuprovir,Syrup,Teva Pharmaceutical Industries Ltd.,2023-04-16,427,H-E-B Pharmacy,2023-04-07
Clariprofen,Capsule,Pfizer Inc.,2024-12-23,93,PharmaSave,2024-10-10
Amoxiphen,Capsule,GlaxoSmithKline plc,2025-09-28,77,WellnessPharm,2024-06-09
Clarivir,Tablet,Boehringer Ingelheim GmbH,2023-12-20,362,Health Mart Pharmacy,2023-12-15
Amoxivir,Cream,Johnson & Johnson,2025-02-24,424,Clicks Pharmacy,2024-10-22
Clarimet,Capsule,Johnson & Johnson,2024-09-25,110,Dis-Chem Pharmacy,2023-12-07
Metoprofen,Tablet,Johnson & Johnson,2025-06-09,492,Clicks Pharmacy,2024-07-23
Claricillin,Injection,Bayer AG,2026-03-09,189,Clicks Pharmacy,2024-09-10
Metophen,Capsule,AbbVie Inc.,2024-04-20,161,Rexall Pharmacy,2023-05-10
Ibupromet,Drops,Biogen Inc.,2026-03-15,276, Superdrug,2023-05-20
Ibuprophen,Drops,CSL Limited,2024-05-06,439,CVS Pharmacy,2023-11-13
Acetocillin,Inhaler,"Merck & Co., Inc.",2026-04-19,386,Target Pharmacy,2023-03-24
Metostatin,Syrup,Novartis AG,2024-05-29,404,HealthPlus,2024-06-07
Dolostatin,Inhaler,"Merck & Co., Inc.",2025-10-10,267,CarePlus Pharmacy,2024-07-04
Cefstatin,Syrup,"Merck & Co., Inc.",2024-11-01,142,Meijer Pharmacy,2024-07-16
Dolophen,Inhaler,"Gilead Sciences, Inc.",2024-12-14,310,Watsons,2024-11-23
Dextrophen,Injection,Eli Lilly and Company,2024-09-04,376,CarePlus Pharmacy,2024-10-11
